Linux 5.4.0-125-generic (grayfox) 	09/11/22 	_x86_64_	(32 CPU)

04:55:22     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:55:23     all    1.33    0.00    8.14    0.00    0.00    1.86    0.00    8.08    0.00   80.56
04:55:23       0    0.78    0.00    0.78    0.00    0.00   22.66    0.00    0.78    0.00   75.00
04:55:23       1    2.65    0.00   20.35    0.00    0.00    5.31    0.00   21.24    0.00   50.44
04:55:23       2    0.98    0.00   25.49    0.00    0.00    4.90    0.00   29.41    0.00   39.22
04:55:23       3    0.00    0.00   29.41    0.00    0.00    0.00    0.00   42.16    0.00   28.43
04:55:23       4    2.08    0.00   31.25    0.00    0.00    2.08    0.00   19.79    0.00   44.79
04:55:23       5    0.00    0.00    0.00    0.00    0.00    1.96    0.00    0.00    0.00   98.04
04:55:23       6    0.99    0.00   13.86    0.00    0.00    0.99    0.00   20.79    0.00   63.37
04:55:23       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:55:23       8    1.01    0.00   24.24    0.00    0.00    1.01    0.00   24.24    0.00   49.49
04:55:23       9    0.00    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   98.02
04:55:23      10    1.01    0.00   11.11    0.00    0.00    2.02    0.00   12.12    0.00   73.74
04:55:23      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:55:23      12    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98
04:55:23      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:55:23      14    2.02    0.00   31.31    0.00    0.00    8.08    0.00   26.26    0.00   32.32
04:55:23      15    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
04:55:23      16    0.00    0.00    0.99    0.00    0.00    0.00    0.00    5.94    0.00   93.07
04:55:23      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:55:23      18    3.00    0.00   16.00    0.00    0.00    0.00    0.00    8.00    0.00   73.00
04:55:23      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:55:23      20    1.02    0.00   14.29    0.00    0.00    1.02    0.00    8.16    0.00   75.51
04:55:23      21    2.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
04:55:23      22    3.03    0.00   27.27    0.00    0.00    3.03    0.00   13.13    0.00   53.54
04:55:23      23    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
04:55:23      24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:55:23      25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:55:23      26    0.00    0.00    1.94    0.00    0.00    0.00    0.00    9.71    0.00   88.35
04:55:23      27    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
04:55:23      28    0.00    0.00    1.03    0.00    0.00    0.00    0.00    4.12    0.00   94.85
04:55:23      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:55:23      30    0.00    0.00    2.08    0.00    0.00    0.00    0.00   12.50    0.00   85.42
04:55:23      31   21.65    0.00    4.12    0.00    0.00    0.00    0.00    0.00    0.00   74.23

04:55:23     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:55:24     all    0.97    0.00    8.30    0.00    0.00    2.03    0.00    8.27    0.00   80.41
04:55:24       0    0.00    0.00    0.76    0.00    0.00   25.95    0.00    0.00    0.00   73.28
04:55:24       1    1.90    0.00   22.86    0.00    0.00    2.86    0.00   21.90    0.00   50.48
04:55:24       2    3.09    0.00   28.87    0.00    0.00    3.09    0.00   25.77    0.00   39.18
04:55:24       3    2.06    0.00   30.93    0.00    0.00    0.00    0.00   47.42    0.00   19.59
04:55:24       4    3.19    0.00   29.79    0.00    0.00    4.26    0.00   27.66    0.00   35.11
04:55:24       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:55:24       6    1.98    0.00   13.86    0.00    0.00    2.97    0.00   24.75    0.00   56.44
04:55:24       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:55:24       8    2.04    0.00   28.57    0.00    0.00    3.06    0.00   19.39    0.00   46.94
04:55:24       9    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
04:55:24      10    1.08    0.00    8.60    0.00    0.00    1.08    0.00   13.98    0.00   75.27
04:55:24      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:55:24      12    0.00    0.00    1.94    0.00    0.00    0.97    0.00    1.94    0.00   95.15
04:55:24      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:55:24      14    2.08    0.00   30.21    0.00    0.00    5.21    0.00   33.33    0.00   29.17
04:55:24      15    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   98.98
04:55:24      16    1.00    0.00    3.00    0.00    0.00    0.00    0.00    5.00    0.00   91.00
04:55:24      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:55:24      18    1.02    0.00   17.35    0.00    0.00    4.08    0.00    8.16    0.00   69.39
04:55:24      19    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
04:55:24      20    1.02    0.00   13.27    0.00    0.00    1.02    0.00   11.22    0.00   73.47
04:55:24      21    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
04:55:24      22    2.00    0.00   28.00    0.00    0.00    2.00    0.00   22.00    0.00   46.00
04:55:24      23    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
04:55:24      24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.00    0.00   99.00
